,index,ADR_SECTEUR,ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,CODE,DIAMETREARBREAUNMETRE,ESPECE,GENRE_BOTA,PLU,SEVERITEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,ARBREDEVOIRIE,STADEDEDEVELOPPEMENT,STADEDEVELOPPEMENTDIAG,TRAITEMENTCHENILLES,TRAVAUXPRECONISESDIAG,TROTTOIR,VIGUEUR,DEFAUT,Collet,Houppier,Racine,Tronc,latitude,longitude,TETEDECHAT,LIERRE,CEPEE
0,0,4,2014,2014,2019,ESP33155,10,cordata,Alnus,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,5.740494716484979,45.172728051886686,0,0,0
1,1,1,2004,2013,2015,ESP2079,30,acerifolia,Platanus,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.713406443675399,45.1706220745528,0,0,0
2,3,5,2004,2014,2014,ESP7496,40,japonica,Sophora,0,0,3,1,1,1,0,3,1,3,1,0,1,1,0,5.726056648483889,45.18602258370578,0,0,0
3,4,0,2004,2013,2015,ESP2547,20,americana,Fraxinus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.711043279043398,45.19479928210522,0,0,0
4,5,1,2004,2015,2018,ESP11866,40,abies,Picea,0,3,0,0,1,1,0,3,0,3,1,1,0,0,0,5.7049574582572475,45.16692382961202,0,0,0
5,6,2,2004,2013,2020,ESP5219,30,excelsior,Fraxinus,0,0,3,0,1,1,0,2,0,3,0,0,0,0,0,5.733581603552698,45.166841595322445,0,0,0
6,7,5,2004,2014,2014,ESP2708,30,nigra,Populus,0,2,2,0,1,2,0,2,0,0,1,0,1,0,0,5.728724691180654,45.18430715173164,0,0,0
7,8,5,2004,2013,2015,ESP18241,40,acerifolia,Platanus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.737225685483209,45.189073112723975,0,0,0
8,9,4,2004,2015,2017,ESP30323,40,?,Acer,0,1,3,0,1,1,0,2,0,3,1,0,1,0,0,5.740672160012035,45.189318877090095,0,0,0
9,10,1,2009,2015,2017,ESP29611,10,?,Tilia,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,5.710657576787219,45.16693879309622,0,0,0
10,11,3,2004,2014,2014,ESP1429,40,tomentosa,Tilia,0,0,3,1,1,1,0,2,1,3,1,0,1,0,0,5.731487922741911,45.1825556376637,0,0,0
11,12,4,2004,2013,2016,ESP19508,20,japonica,Sophora,0,1,2,1,1,1,0,0,1,3,0,0,0,0,0,5.73463804335541,45.17164615231602,0,0,0
12,13,0,2005,2015,2018,ESP9274,10,verrucosa,Betula,0,0,3,1,1,0,0,1,0,3,0,0,0,0,0,5.714164294098533,45.1802764446446,0,0,0
13,14,1,2004,2015,2020,ESP6156,20,?,Carpinus,0,0,3,1,1,1,0,1,1,3,1,0,1,0,0,5.7064046273955755,45.1739937745859,0,0,0
14,15,1,2004,2015,2017,ESP29445,10,styraciflua,Liquidambar,0,0,3,1,1,0,0,0,1,3,0,0,0,0,0,5.714640416227813,45.180118741125206,0,0,0
15,16,3,2004,2013,2015,ESP26224,20,pseudoplatanus,Acer,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,5.735690581973985,45.172627078225574,0,0,0
16,17,3,2004,2015,2016,ESP30513,20,japonica,Sophora,0,3,0,0,1,1,0,3,0,0,1,0,0,0,1,5.723081038449604,45.168861853481026,0,0,0
17,18,3,2009,2013,2015,ESP20686,0,retusus,Chionanthus,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,5.7283120091079205,45.18043267767107,0,0,0
18,19,3,2004,2013,2018,ESP23661,30,acerifolia,Platanus,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.718262601230159,45.17144393770516,0,0,0
19,20,4,2006,2015,2018,ESP13174,110,nigra,Populus,0,1,3,0,2,2,0,1,0,3,1,0,1,0,0,5.743393023140916,45.1884006046396,0,0,0
20,21,1,2004,2014,2014,ESP13891,0,verrucosa,Betula,0,0,3,1,1,0,0,0,0,3,0,0,0,0,0,5.707598002838511,45.16105785354912,0,0,1
