                                   class  count
0         Prc Echangeurs Bastion St Roch    211
1                      Cimetière St Roch    210
2          Prc Echangeurs Valmy Gallieni    193
3                        Stade Bachelard    179
4              Cimetière du Grand Sablon    158
5                     Pc Ch Elysés Ouest    153
6                      Cité Léon Jouhaux    150
7                           Alpexpo park     96
8                 Sq Marcellin Berthelot     94
9              Pc Ch Elysés Ouest du lac     87
10         Esplan boulod et park relais      82
11                          Parc Soulage     81
12           Prc Echangeurs talus berges     80
13        All Romantiques LBruyère Vigny     78
14          R Ernest Hareux zone compost     76
15              Pc Alliance R Stalingrad     73
16        Crs Libération Beauvert Alliés     70
17              Prc La Bruyère dalle Res     70
18        Prc La Bruyère NORD mail centr     69
19               Pc Savane pelouses Nord     64
20            Allée des Romantiques pair     61
21           Sq Drevet ang Salengro Libé     57
22                Coulée verte Esclangon     56
23        Av Martyrs Résistance Horowitz     56
24        Grenoble village av M Reynoard     56
25                       Jard des Poêtes     55
26          R Esmonin Blum au rond point     55
27                    Hôtel Lesdiguières     54
28          Allée des Romantiques impair     54
29               R Hilaire de Chardonnet     53
30          Bd Gambetta Dubedout Berriat     52
31          Av Martyrs Tram Sud Horowitz     52
32            R Maurice Dodero n 12 à 16     52
33                Parc 1 Michalon centre     50
34                Espace Chantal Mauduit     50
35          Pl Ch Dullin partie centrale     50
36        Crs Libération Ronsard Reynier     49
37              Prc Echangeurs amphi Sud     48
38              Esplan ceinture SudOuest     48
39         Crs Libération France Ronsard     48
40                      R Jules Horowitz     47
41              R Arts de montagne Talus     46
42                         Jard de Ville     45
43                   Sq Capitaine Camine     45
44             Park l durée r E Gueymard     45
45            Pl J Moulin partie Sud Est     43
46                        Cargo park Est     43
47            Jard Hoche P Fugain buttes     43
48        R Vaujany Dagalier au terminus     42
49        Pc 3 H St Ferjus Chartr Hermin     41
50                        R Marquian MIN     41
51          R Esmonin sép face Carrefour     41
52          Pc Ch Elysés Maison lenfance     41
53        Crs Libération Reynier Vaujany     40
54         Bd J Vallier voie tram impair     40
55           Av Reynoard sép VO a Musset     39
56           R Hébert imp Verdun St Roch     38
57             Cimetière du Petit Sablon     38
58             Pc Ch Elysés pelouse Nord     38
59          Prc Ouagadougou partie Ouest     38
60        Prc Pompidou abs aire de jeux      38
61          A F Viallet la Gare à Jaures     38
62           Bd Gambetta Berriat Lesdigu     38
63           Garage central Malherbe Est     38
64                R Esmonin sép face IMT     37
65              Bd Esplan face n 02 à 44     36
66           Parc du Clos dOr Stalingrad     36
67                             Ec du lac     36
68             Esplan ceinture NordOuest     36
69        Al Romantiques Musset LBruyère     36
70             Arrèt tram La Bruyère Est     36
71         Pl J Moulin partie Nord Ouest     35
72             Av J O Valles Poterne sép     35
73          Sq Bajatière Chem de léglise     35
74              Cité Teisseire le bassin     35
75         Cité F Gauthier pel de larche     35
76             Prc Echangeurs amphi Nord     35
77        Prc LaBruyère SUD mail central     34
78        Crs Libération Rondeau Ec Libé     34
79        Av Reynoard Village au Collège     34
80                   Jard Plantes centre     34
81                          Chem du tram     33
82        Ave St Roch terrain stabilisé      33
83          Bd Joffre tram Pasteur Rivet     33
84                     Stade VO pourtour     33
85           Bd J Vallier voie tram pair     33
86        Av Reynoard 3 Quartiers Musset     33
87                      Qu de la Graille     33
88        Sq R Genin et Park D Rochereau     33
89         Pc 3 H St Ferjus t Belledonne     32
90           Prc Pompidou centre sportif     32
91        Av Reynoard Lbruyère a Village     32
92                      R Emile Gueymard     32
93               Pc Ch Elysés Est du lac     32
94             R R Salengro talus biblio     31
95         Bd Clémenceau J darc à Driant     31
96              Bd Esplan pair n 02 à 44     31
97               Pôle festif R L Jouhaux     31
98                       R Louise Michel     31
99             Jard des Dauphins sommet      31
100       Jard Hoche Ouest stabilisé pel     30
101      Crs Libération Vallier Salengro     29
102         Ch Chapitre ang Stat Ponsard     29
103                   Sq Foch ang Mangin     29
104         Parc Vallier partie centrale     29
105           Jard des Dauphins pelouses     29
106        Av Lbruyère SO passe Malherbe     29
107         Av J O nord 140 RIA Chapitre     29
108         R Pupin des Ecrins au tunnel     28
109        Av J O Washington Jouhaux sép     28
110            Voie E O Cargo à J Perrot     28
111            Bd Esplan Autoroute A 48      28
112        R L Jouhaux Cocat à Fernandat     27
113            Crs Libé Verlaine Bauvert     27
114          Res Dauphins 3240 Qu France     27
115            Bd Vallier R Danube Libé      27
116               Jard Hoche pelouse Est     27
117            Parc 2 R Herminier centre     27
118          Prc La Bruyère mail central     27
119         Jard Hoche Sud sport et jeux     27
120                     Ave Beaumarchais     27
121               Sq du Pas de laiguille     27
122           R P Claudel Tour n 03 à 07     27
123            Jard Hoche cour des Mômes     27
124            Parc 2 R Hermin M Leclerq     27
125       R C Kogan centrale tléphonique     27
126                  R C Kogan n 14 à 28     26
127             R Maquis de lOisans park     26
128                    Qu Claude Bernard     26
129                         R H Barbusse     26
130         Bd Foch Tram G Rivet Marceau     26
131                      Clos des Fleurs     26
132               R N Boileau et Mansard     26
133                    R Christophe Turc     26
134       Prc Pompidou pelouse du bassin     26
135        Av Malherbe Pascal à J Perrot     26
136         Av Bossuet Helbronner Racine     25
137         All Deux Mondes aire de jeux     25
138        R Alliés Stalingrad  H Balzac     25
139       Pc Pompidou al du parc face 03     25
140         R G Lafourcade Terrain Blanc     25
141           R Léo Lagrange voie ferrée     25
142        R G Tonnelier Cocat Fernandat     25
143        R R Salengro pel Hlle Blanche     25
144        R Vaujany Libération Dagalier     24
145               Le Rondeau coté impair     24
146        Jard Hoche Sud couronne extér     24
147                      Ec des Trembles     24
148        Bd J Pain Tram Lyautet Mairie     24
149              Cité Mistral la prairie     24
150         Ch Gordes pourtour gym Munch     24
151       Av Constantine park Cascateles     24
152         Pc Ch Elysés pel petit train     23
153                     R M Dodero SOGEA     23
154       Prc Pompidou abords boulodrome     23
155        R Hébert pair Chanrion Verdun     23
156       Av Berthelot Malifaut G Lussac     23
157       Passag B Montferrat Schweitzer     23
158                        R de la Frise     23
159       R des Alliés Reynoard Flaubert     23
160       Av Reynoard sép Musset à URSAF     23
161         Av A Belgique Perrot Cornier     23
162               R M Riollet cité rouge     23
163            Sq Mutualité ang Chanrion     23
164        Jard Plantes dans la rocaille     23
165                R P Claudel sous bois     22
166             R des trois épis 13 à 20     22
167            Jard Hoche cour du mikado     22
168          Cité Vignes Huchon à Halage     22
169        Av M Reynoard face cl du Mail     22
170       Av Reynoard Destinées LBruyère     22
171          Av J O Wash à L Jouhaux sép     22
172         Bd J Vallier Termier à Irvoy     22
173           Cité F Gauthier abord bati     22
174       Ec prim Clémenceau 05 R Lachat     22
175          R Durand Savoyat talus pont     22
176        Pas entre Stalingrad et Vigny     22
177         R J Rey Berriat à N Chorrier     22
178           R L Jouhaux Manteyer Cocat     22
179       Cité Mistral Ouest gr scolaire     22
180       Cité Teisseire Jard des buttes     22
181       Pc 3 H St Ferjus terr pétanque     22
182         Parvis L Néel MINATEC Voirie     22
183                 R C Kogan n 35 et 37     22
184       Cité Moyrand E Cartan le mail      21
185            Centre œcuménique St Marc     21
186                  R des Chardonnerets     21
