           class  count
0     10 à 20 cm   4221
1     20 à 30 cm   3187
2     30 à 40 cm   2400
3     40 à 50 cm   1894
4     50 à 60 cm   1124
5      0 à 10 cm    940
6     60 à 70 cm    651
7     70 à 80 cm    387
8     80 à 90 cm    235
9    90 à 100 cm    138
10             ?     67
11  100 à 110 cm     65
12  110 à 120 cm     26
13  120 à 130 cm     14
14  130 à 140 cm     11
15  160 à 170 cm      5
16  140 à 150 cm      4
17  150 à 160 cm      4
18  180 à 190 cm      1
19  170 à 180 cm      1
