                        class  count
0                  acerifolia   2864
1                       nigra   1073
2                           ?   1018
3                   tomentosa    646
4                 platanoides    584
5                 styraciflua    473
6              pseudoplatanus    416
7                     cordata    373
8                   verrucosa    368
9                     betulus    343
10                 campestris    336
11                 tulipifera    291
12                   japonica    280
13                saccharinum    276
14                  excelsior    275
15                     utilis    258
16                 sylvestris    255
17                 lawsoniana    237
18              hippocastanum    230
19                grandiflora    213
20                 calleryana    206
21                  serrulata    196
22               siliquastrum    169
23                  atlantica    167
24                triacanthos    164
25                    robusta    158
26               pseudoacacia    155
27               platyphyllos    148
28                       alba    130
29                  americana    125
30               cappadocicum    123
31                 paniculata     97
32                     cerris     96
33                    negundo     95
34                    colurna     93
35                  sylvatica     90
36               sempervirens     80
37                      abies     79
38                 orientalis     74
39                  australis     67
40                    baccata     66
41                     biloba     62
42                      minor     60
43                      ornus     59
44                   platanor     57
45                   danielli     57
46                      avium     52
47                    serrata     51
48               angustifolia     51
49                 ceracifera     47
50                  leylandii     47
51                 floribunda     44
52                  altissima     44
53                bignonoides     43
54                      robur     42
55                    petraea     38
56                    deodara     38
57             monspessulanum     38
58              castaneifolia     37
59                 papyrifera     33
60                   decurens     30
61                 canadensis     29
62               carpinifolia     28
63                  campestre     28
64                  arizonica     27
65                     indica     26
66               jullibrissin     26
67                   freemani     25
68               fraxinifolia     25
69                    spaitii     24
70                    ginnala     24
71                   oxycarpa     23
72                      lutea     22
73                  frainetto     20
74                  glutinosa     19
75                soulangiana     17
76                    persica     17
77               pensylvanica     16
78                     pumila     16
79                   henryana     15
80                  domestica     14
81                   velutina     14
82                    retusus     13
83                      rubra     13
84                   bombycis     13
85                      suber     13
86                       aria     13
87                    tremula     13
88                     rubrum     13
89                  mongolica     12
90                    pungens     12
91                    plicata     12
92                   communis     12
93                     carnea     12
94                   amurense     12
95                      regia     11
96                   sinensis     11
97                nordmaniana     11
98                mandshurica     11
99                  palustris     10
100               tschonoskii     10
101                  griffiti     10
102                   cerasus      9
103              occidentalis      9
104                 yedoensis      9
105                aquifolium      9
106                 magnifica      8
107                   nivalis      8
108                      ilex      8
109                   resista      7
110                    carica      7
111                 coggygria      7
112                  vulgaris      6
113                oxyacantha      6
114                  lamarcki      6
115                virginiana      6
116                  avellana      6
117                 japonicum      6
118                   willosa      6
119                 giganteum      6
120                    libani      5
121               involucrata      5
122                    glabra      5
123                 kagayamae      5
124                   pendula      5
125              buergerianum      5
126                  tortuosa      5
127                 chinensis      5
128                   dioicus      5
129                    golden      5
130                     kobus      5
131               subhirtella      5
132                 distychum      5
133                   everest      4
134                 laevigata      4
135                  concolor      4
136                   spinosa      4
137                   omorika      4
138                 saccharum      4
139                    incana      4
140                    exelsa      4
141                   oblonga      4
142             tashkentensis      3
143               controversa      3
144                     lotus      3
145                  europaea      3
146                 aucuparia      3
147            fragmantissima      3
148                  pomifera      3
149                   falcata      3
150                babylonica      3
151                 cuspidata      3
152                lusitanica      3
153                  ibernica      3
154                   simonii      3
155               tatarinowii      2
156                  thyphina      2
157                 germanica      2
158                     black      2
159                   perpetu      2
160                    caprea      2
161                    dulcis      2
162                  monogyna      2
163                capillipes      2
164         saccharinum wieri      2
165                   montana      2
166            rosmarinifolia      2
167                 monticola      2
168               salicifolia      2
169              laurocerasus      2
170                chrysocoma      2
171                  lavallei      2
172                 latifolia      2
173                trifoliata      2
174              harringtonia      2
175                  euchlora      2
176              myrcinifolia      2
177             elegantissima      2
178                  carolina      2
179                   sinense      2
180                   hispida      1
181           chandelle seche      1
182                 trilobata      1
183                  drupacea      1
184               verticulata      1
185                   royalty      1
186                      kaki      1
187                    mughus      1
188                   florida      1
189                   crenata      1
190               formonensis      1
191                  stellata      1
192              pendula roth      1
193                torminalis      1
194                tricotonum      1
195                  alaterne      1
196  reinette grise du Canada      1
197                parviflora      1
198                  coccinea      1
199               mugo mughus      1
200                   griseum      1
201                     padus      1
202                variabilis      1
203                    opalus      1
204                  granatum      1
205                     pavia      1
206                   bumalda      1
207                 tartarica      1
208      alnifolia fastigiata      1
209               anagynoides      1
210                nooktensis      1
211              reine claude      1
212                magnificum      1
213                macrocarpa      1
214                 armeniaca      1
215                   pinsapo      1
216                   strobus      1
217                 coromaria      1
218                   cytisus      1
219                  purpurea      1
220             phillyreoides      1
221                  procera       1
222                   deboeri      1
223                   decidua      1
224               virginiacus      1
225                     gunii      1
226                 laciniata      1
