       class  count
0          0      1
1      10176      1
2      10164      1
3      10165      1
4      10166      1
5      10167      1
6      10168      1
7      10169      1
8      10170      1
9      10171      1
10     10172      1
11     10173      1
12     10174      1
13     10175      1
14     10177      1
15     10162      1
16     10178      1
17     10179      1
18     10180      1
19     10181      1
20     10182      1
21     10183      1
22     10184      1
23     10185      1
24     10186      1
25     10187      1
26     10188      1
27     10189      1
28     10163      1
29     10161      1
30     10191      1
31     10146      1
32     10134      1
33     10135      1
34     10136      1
35     10137      1
36     10138      1
37     10139      1
38     10140      1
39     10141      1
40     10142      1
41     10143      1
42     10144      1
43     10145      1
44     10147      1
45     10160      1
46     10148      1
47     10149      1
48     10150      1
49     10151      1
50     10152      1
51     10153      1
52     10154      1
53     10155      1
54     10156      1
55     10157      1
56     10158      1
57     10159      1
58     10190      1
59     10192      1
60     10013      1
61     10236      1
62     10224      1
63     10225      1
64     10226      1
65     10227      1
66     10228      1
67     10229      1
68     10230      1
69     10231      1
70     10232      1
71     10233      1
72     10234      1
73     10235      1
74     10237      1
75     10222      1
76     10238      1
77     10239      1
78     10240      1
79     10241      1
80     10242      1
81     10243      1
82     10244      1
83     10245      1
84     10246      1
85     10247      1
86     10248      1
87     10249      1
88     10223      1
89     10221      1
90     10193      1
91     10206      1
92     10194      1
93     10195      1
94     10196      1
95     10197      1
96     10198      1
97     10199      1
98     10200      1
99     10201      1
100    10202      1
101    10203      1
102    10204      1
103    10205      1
104    10207      1
105    10220      1
106    10208      1
107    10209      1
108    10210      1
109    10211      1
110    10212      1
111    10213      1
112    10214      1
113    10215      1
114    10216      1
115    10217      1
116    10218      1
117    10219      1
118    10133      1
119    10132      1
120    10131      1
121    10057      1
122    10045      1
123    10046      1
124    10047      1
125    10048      1
126    10049      1
127    10050      1
128    10051      1
129    10052      1
130    10053      1
131    10054      1
132    10055      1
133    10056      1
134    10058      1
135    10043      1
136    10059      1
137    10060      1
138    10061      1
139    10062      1
140    10063      1
141    10064      1
142    10065      1
143    10066      1
144    10067      1
145    10068      1
146    10069      1
147    10070      1
148    10044      1
149    10042      1
150    10130      1
151    10027      1
152    10015      1
153    10016      1
154    10017      1
155    10018      1
156    10019      1
157    10020      1
158    10021      1
159    10022      1
160    10023      1
161    10024      1
162    10025      1
163    10026      1
164    10028      1
165    10041      1
166    10029      1
167    10030      1
168    10031      1
169    10032      1
170    10033      1
171    10034      1
172    10035      1
173    10036      1
174    10037      1
175    10038      1
176    10039      1
177    10040      1
178    10071      1
179    10072      1
180    10073      1
181    10116      1
182    10104      1
183    10105      1
184    10106      1
185    10107      1
186    10108      1
187    10109      1
188    10110      1
189    10111      1
190    10112      1
191    10113      1
192    10114      1
193    10115      1
194    10117      1
195    10074      1
196    10118      1
197    10119      1
198    10120      1
199    10121      1
200    10122      1
201    10123      1
202    10124      1
203    10125      1
204    10126      1
205    10127      1
206    10128      1
207    10129      1
208    10103      1
209    10102      1
210    10101      1
211    10100      1
212    10075      1
213    10076      1
214    10077      1
215    10078      1
216    10079      1
217    10080      1
218    10081      1
219    10082      1
220    10083      1
221    10084      1
222    10085      1
223    10086      1
224    10087      1
225    10088      1
226    10089      1
227    10090      1
228    10091      1
229    10092      1
230    10093      1
231    10094      1
232    10095      1
233    10096      1
234    10097      1
235    10098      1
236    10099      1
237    10250      1
238    10251      1
239    10252      1
240    10415      1
241    10403      1
242    10404      1
243    10405      1
244    10406      1
245    10407      1
246    10408      1
247    10409      1
248    10410      1
249    10411      1
250    10412      1
251    10413      1
252    10414      1
253    10416      1
254    10401      1
255    10417      1
256    10418      1
257    10419      1
258    10420      1
259    10421      1
260    10422      1
261    10423      1
262    10424      1
263    10425      1
264    10426      1
265    10427      1
266    10428      1
267    10402      1
268    10400      1
269    10371      1
270    10385      1
271    10373      1
272    10374      1
273    10375      1
274    10376      1
275    10377      1
276    10378      1
277    10379      1
278    10380      1
279    10381      1
280    10382      1
281    10383      1
282    10384      1
283    10386      1
284    10399      1
285    10387      1
286    10388      1
287    10389      1
288    10390      1
289    10391      1
290    10392      1
291    10393      1
292    10394      1
293    10395      1
294    10396      1
295    10397      1
296    10398      1
297    10429      1
298    10430      1
299    10431      1
300    10474      1
301    10462      1
302    10463      1
303    10464      1
304    10465      1
305    10466      1
306    10467      1
307    10468      1
308    10469      1
309    10470      1
310    10471      1
311    10472      1
312    10473      1
313    10475      1
314    10432      1
315    10476      1
316    10477      1
317    10478      1
318    10479      1
319    10480      1
320    10481      1
321    10482      1
322    10483      1
323    10484      1
324    10485      1
325    10486      1
326    10487      1
327    10461      1
328    10460      1
329    10459      1
330    10458      1
331    10433      1
332    10434      1
333    10435      1
334    10436      1
335    10437      1
336    10438      1
337    10439      1
338    10440      1
339    10441      1
340    10442      1
341    10443      1
342    10444      1
343    10445      1
344    10446      1
345    10447      1
346    10448      1
347    10449      1
348    10450      1
349    10451      1
350    10452      1
351    10453      1
352    10454      1
353    10455      1
354    10456      1
355    10457      1
356    10372      1
357    10370      1
358    10253      1
359    10296      1
360    10284      1
361    10285      1
362    10286      1
363    10287      1
364    10288      1
365    10289      1
366    10290      1
367    10291      1
368    10292      1
369    10293      1
370    10294      1
371    10295      1
372    10297      1
373    10282      1
374    10298      1
375    10299      1
376    10300      1
377    10301      1
378    10302      1
379    10303      1
380    10304      1
381    10305      1
382    10306      1
383    10307      1
384    10308      1
385    10309      1
386    10283      1
387    10281      1
388    10369      1
389    10266      1
390    10254      1
391    10255      1
392    10256      1
393    10257      1
394    10258      1
395    10259      1
396    10260      1
397    10261      1
398    10262      1
399    10263      1
400    10264      1
401    10265      1
402    10267      1
403    10280      1
404    10268      1
405    10269      1
406    10270      1
407    10271      1
408    10272      1
409    10273      1
410    10274      1
411    10275      1
412    10276      1
413    10277      1
414    10278      1
415    10279      1
416    10310      1
417    10311      1
418    10312      1
419    10355      1
420    10343      1
421    10344      1
422    10345      1
423    10346      1
424    10347      1
425    10348      1
426    10349      1
427    10350      1
428    10351      1
429    10352      1
430    10353      1
431    10354      1
432    10356      1
433    10313      1
434    10357      1
435    10358      1
436    10359      1
437    10360      1
438    10361      1
439    10362      1
440    10363      1
441    10364      1
442    10365      1
443    10366      1
444    10367      1
445    10368      1
446    10342      1
447    10341      1
448    10340      1
449    10339      1
450    10314      1
451    10315      1
452    10316      1
453    10317      1
454    10318      1
455    10319      1
456    10320      1
457    10321      1
458    10322      1
459    10323      1
460    10324      1
461    10325      1
462    10326      1
463    10327      1
464    10328      1
465    10329      1
466    10330      1
467    10331      1
468    10332      1
469    10333      1
470    10334      1
471    10335      1
472    10336      1
473    10337      1
474    10338      1
475    10014      1
476    10012      1
477    10489      1
478     9699      1
479     9687      1
480     9688      1
481     9689      1
482     9690      1
483     9691      1
484     9692      1
485     9693      1
486     9694      1
487     9695      1
488     9696      1
489     9697      1
490     9698      1
491     9700      1
492     9685      1
493     9701      1
494     9702      1
495     9703      1
496     9704      1
497     9705      1
498     9706      1
499     9707      1
500     9708      1
501     9709      1
502     9710      1
503     9711      1
504     9712      1
505     9686      1
506     9684      1
507     9714      1
508     9669      1
509     9657      1
510     9658      1
511     9659      1
512     9660      1
513     9661      1
514     9662      1
515     9663      1
516     9664      1
517     9665      1
518     9666      1
519     9667      1
520     9668      1
521     9670      1
522     9683      1
523     9671      1
524     9672      1
525     9673      1
526     9674      1
527     9675      1
528     9676      1
529     9677      1
530     9678      1
531     9679      1
532     9680      1
533     9681      1
534     9682      1
535     9713      1
536     9715      1
537    10011      1
538     9759      1
539     9747      1
540     9748      1
541     9749      1
542     9750      1
543     9751      1
544     9752      1
545     9753      1
546     9754      1
547     9755      1
548     9756      1
549     9757      1
550     9758      1
551     9760      1
552     9745      1
553     9761      1
554     9762      1
555     9763      1
556     9764      1
557     9765      1
558     9766      1
559     9767      1
560     9768      1
561     9769      1
562     9770      1
563     9771      1
564     9772      1
565     9746      1
566     9744      1
567     9716      1
568     9729      1
569     9717      1
