              class  count
0      4.225700e+06      2
1      4.222009e+06      2
2      4.226398e+06      2
3      4.224202e+06      2
4      4.225226e+06      2
5      4.223477e+06      2
6      4.225615e+06      2
7      4.224147e+06      2
8      4.224137e+06      2
9      4.222730e+06      1
10     4.221721e+06      1
11     4.221634e+06      1
12     4.222837e+06      1
13     4.224571e+06      1
14     4.222287e+06      1
15     4.222286e+06      1
16     4.222148e+06      1
17     4.226229e+06      1
18     4.223226e+06      1
19     4.222577e+06      1
20     4.222168e+06      1
21     4.222261e+06      1
22     4.222694e+06      1
23     4.224656e+06      1
24     4.226424e+06      1
25     4.221864e+06      1
26     4.221576e+06      1
27     4.221735e+06      1
28     4.225386e+06      1
29     4.221923e+06      1
30     4.221490e+06      1
31     4.223318e+06      1
32     4.224369e+06      1
33     4.224568e+06      1
34     4.222521e+06      1
35     4.222446e+06      1
36     4.224595e+06      1
37     4.222087e+06      1
38     4.223230e+06      1
39     4.221965e+06      1
40     4.222220e+06      1
41     4.222840e+06      1
42     4.225073e+06      1
43     4.222430e+06      1
44     4.223313e+06      1
45     4.224618e+06      1
46     4.224441e+06      1
47     4.222340e+06      1
48     4.222058e+06      1
49     4.224795e+06      1
50     4.224944e+06      1
51     4.222069e+06      1
52     4.222308e+06      1
53     4.221686e+06      1
54     4.222182e+06      1
55     4.225763e+06      1
56     4.224625e+06      1
57     4.225025e+06      1
58     4.222412e+06      1
59     4.224975e+06      1
60     4.220604e+06      1
61     4.222721e+06      1
62     4.223508e+06      1
63     4.224742e+06      1
64     4.223195e+06      1
65     4.223111e+06      1
66     4.222480e+06      1
67     4.221752e+06      1
68     4.224559e+06      1
69     4.221528e+06      1
70     4.221976e+06      1
71     4.221640e+06      1
72     4.224030e+06      1
73     4.222782e+06      1
74     4.225313e+06      1
75     4.221472e+06      1
76     4.222777e+06      1
77     4.223608e+06      1
78     4.222669e+06      1
79     4.224287e+06      1
80     4.223346e+06      1
81     4.224659e+06      1
82     4.224599e+06      1
83     4.223646e+06      1
84     4.222520e+06      1
85     4.223734e+06      1
86     4.222987e+06      1
87     4.222946e+06      1
88     4.222809e+06      1
89     4.224412e+06      1
90     4.220555e+06      1
91     4.223262e+06      1
92     4.225347e+06      1
93     4.223839e+06      1
94     4.222886e+06      1
95     4.223181e+06      1
96     4.222412e+06      1
97     4.222611e+06      1
98     4.225108e+06      1
99     4.223070e+06      1
100    4.225161e+06      1
101    4.222246e+06      1
102    4.221746e+06      1
103    4.225287e+06      1
104    4.221605e+06      1
105    4.221509e+06      1
106    4.221730e+06      1
107    4.222183e+06      1
108    4.223275e+06      1
109    4.225328e+06      1
110    4.221673e+06      1
111    4.221457e+06      1
112    4.224934e+06      1
113    4.221641e+06      1
114    4.222555e+06      1
115    4.221902e+06      1
116    4.222211e+06      1
117    4.222265e+06      1
118    4.224695e+06      1
119    4.224725e+06      1
120    4.225350e+06      1
121    4.223443e+06      1
122    4.224949e+06      1
123    4.222103e+06      1
124    4.222169e+06      1
125    4.223404e+06      1
126    4.221659e+06      1
127    4.223226e+06      1
128    4.222825e+06      1
129    4.223003e+06      1
130    4.221436e+06      1
131    4.224629e+06      1
132    4.221441e+06      1
133    4.225606e+06      1
134    4.223342e+06      1
135    4.223632e+06      1
136    4.225418e+06      1
137    4.224305e+06      1
138    4.222787e+06      1
139    4.223273e+06      1
140    4.222430e+06      1
141    4.222597e+06      1
142    4.221495e+06      1
143    4.223040e+06      1
144    4.225578e+06      1
145    4.223740e+06      1
146    4.225724e+06      1
147    4.224166e+06      1
148    4.224146e+06      1
149    4.224387e+06      1
150    4.222530e+06      1
151    4.225632e+06      1
152    4.224910e+06      1
153    4.222401e+06      1
154    4.223656e+06      1
155    4.222560e+06      1
156    4.221953e+06      1
157    4.224624e+06      1
158    4.223670e+06      1
159    4.224808e+06      1
160    4.224911e+06      1
161    4.225839e+06      1
162    4.224646e+06      1
163    4.223094e+06      1
164    4.223269e+06      1
165    4.225214e+06      1
166    4.224101e+06      1
167    4.225351e+06      1
168    4.222786e+06      1
169    4.225579e+06      1
170    4.224160e+06      1
171    4.223639e+06      1
172    4.223210e+06      1
173    4.221744e+06      1
174    4.222358e+06      1
175    4.224591e+06      1
176    4.221337e+06      1
177    4.223871e+06      1
178    4.223647e+06      1
179    4.224880e+06      1
180    4.225011e+06      1
181    4.222339e+06      1
182    4.221993e+06      1
183    4.225914e+06      1
184    4.224049e+06      1
185    4.225232e+06      1
186    4.222717e+06      1
187    4.221979e+06      1
188    4.225247e+06      1
189    4.225124e+06      1
190    4.224243e+06      1
191    4.225860e+06      1
