       class  count
0          0      1
1      10253      1
2      10241      1
3      10242      1
4      10243      1
5      10244      1
6      10245      1
7      10246      1
8      10247      1
9      10248      1
10     10249      1
11     10250      1
12     10251      1
13     10252      1
14     10254      1
15     10239      1
16     10255      1
17     10256      1
18     10257      1
19     10258      1
20     10259      1
21     10260      1
22     10261      1
23     10262      1
24     10263      1
25     10264      1
26     10265      1
27     10266      1
28     10240      1
29     10238      1
30     10268      1
31     10223      1
32     10211      1
33     10212      1
34     10213      1
35     10214      1
36     10215      1
37     10216      1
38     10217      1
39     10218      1
40     10219      1
41     10220      1
42     10221      1
43     10222      1
44     10224      1
45     10237      1
46     10225      1
47     10226      1
48     10227      1
49     10228      1
50     10229      1
51     10230      1
52     10231      1
53     10232      1
54     10233      1
55     10234      1
56     10235      1
57     10236      1
58     10267      1
59     10269      1
60     10089      1
61     10314      1
62     10301      1
63     10302      1
64     10303      1
65     10304      1
66     10305      1
67     10306      1
68     10307      1
69     10308      1
70     10309      1
71     10310      1
72     10311      1
73     10313      1
74     10315      1
75     10299      1
76     10316      1
77     10317      1
78     10318      1
79     10319      1
80     10320      1
81     10321      1
82     10322      1
83     10323      1
84     10324      1
85     10325      1
86     10326      1
87     10327      1
88     10300      1
89     10298      1
90     10270      1
91     10283      1
92     10271      1
93     10272      1
94     10273      1
95     10274      1
96     10275      1
97     10276      1
98     10277      1
99     10278      1
100    10279      1
101    10280      1
102    10281      1
103    10282      1
104    10284      1
105    10297      1
106    10285      1
107    10286      1
108    10287      1
109    10288      1
110    10289      1
111    10290      1
112    10291      1
113    10292      1
114    10293      1
115    10294      1
116    10295      1
117    10296      1
118    10210      1
119    10209      1
120    10208      1
121    10133      1
122    10121      1
123    10122      1
124    10123      1
125    10124      1
126    10125      1
127    10126      1
128    10127      1
129    10128      1
130    10129      1
131    10130      1
132    10131      1
133    10132      1
134    10134      1
135    10119      1
136    10135      1
137    10136      1
138    10137      1
139    10138      1
140    10139      1
141    10140      1
142    10141      1
143    10142      1
144    10143      1
145    10144      1
146    10145      1
147    10146      1
148    10120      1
149    10118      1
150    10207      1
151    10103      1
152    10091      1
153    10092      1
154    10093      1
155    10094      1
156    10095      1
157    10096      1
158    10097      1
159    10098      1
160    10099      1
161    10100      1
162    10101      1
163    10102      1
164    10104      1
165    10117      1
166    10105      1
167    10106      1
168    10107      1
169    10108      1
170    10109      1
171    10110      1
172    10111      1
173    10112      1
174    10113      1
175    10114      1
176    10115      1
177    10116      1
178    10147      1
179    10148      1
180    10149      1
181    10193      1
182    10181      1
183    10182      1
184    10183      1
185    10184      1
186    10185      1
187    10186      1
188    10187      1
189    10188      1
190    10189      1
191    10190      1
192    10191      1
193    10192      1
194    10194      1
195    10150      1
196    10195      1
197    10196      1
198    10197      1
199    10198      1
200    10199      1
201    10200      1
202    10201      1
203    10202      1
204    10203      1
205    10204      1
206    10205      1
207    10206      1
208    10180      1
209    10179      1
210    10178      1
211    10177      1
212    10151      1
213    10152      1
214    10153      1
215    10154      1
216    10155      1
217    10156      1
218    10157      1
219    10158      1
220    10159      1
221    10160      1
222    10161      1
223    10162      1
224    10163      1
225    10164      1
226    10165      1
227    10167      1
228    10168      1
229    10169      1
230    10170      1
231    10171      1
232    10172      1
233    10173      1
234    10174      1
235    10175      1
236    10176      1
237    10328      1
238    10329      1
239    10330      1
240    10495      1
241    10483      1
242    10484      1
243    10485      1
244    10486      1
245    10487      1
246    10488      1
247    10489      1
248    10490      1
249    10491      1
250    10492      1
251    10493      1
252    10494      1
253    10496      1
254    10481      1
255    10497      1
256    10498      1
257    10499      1
258    10500      1
259    10501      1
260    10502      1
261    10503      1
262    10504      1
263    10505      1
264    10506      1
265    10507      1
266    10508      1
267    10482      1
268    10480      1
269    10451      1
270    10465      1
271    10453      1
272    10454      1
273    10455      1
274    10456      1
275    10457      1
276    10458      1
277    10459      1
278    10460      1
279    10461      1
280    10462      1
281    10463      1
282    10464      1
283    10466      1
284    10479      1
285    10467      1
286    10468      1
287    10469      1
288    10470      1
289    10471      1
290    10472      1
291    10473      1
292    10474      1
293    10475      1
294    10476      1
295    10477      1
296    10478      1
297    10509      1
298    10510      1
299    10511      1
300    10554      1
301    10542      1
302    10543      1
303    10544      1
304    10545      1
305    10546      1
306    10547      1
307    10548      1
308    10549      1
