          class  count
0      5.740495      1
1      5.725581      1
2      5.700280      1
3      5.744116      1
4      5.705519      1
5      5.701752      1
6      5.703929      1
7      5.733584      1
8      5.741463      1
9      5.733120      1
10     5.722118      1
11     5.730848      1
12     5.718976      1
13     5.709505      1
14     5.734934      1
15     5.702686      1
16     5.741071      1
17     5.736224      1
18     5.703585      1
19     5.730364      1
20     5.730987      1
21     5.732545      1
22     5.703619      1
23     5.739596      1
24     5.734967      1
25     5.713254      1
26     5.721926      1
27     5.738983      1
28     5.702260      1
29     5.711727      1
30     5.732794      1
31     5.712021      1
32     5.740905      1
33     5.702781      1
34     5.728379      1
35     5.706244      1
36     5.732633      1
37     5.711262      1
38     5.742410      1
39     5.721686      1
40     5.734400      1
41     5.741845      1
42     5.703530      1
43     5.736059      1
44     5.738848      1
45     5.741440      1
46     5.741202      1
47     5.740428      1
48     5.727042      1
49     5.732135      1
50     5.729489      1
51     5.731845      1
52     5.707427      1
53     5.736429      1
54     5.731195      1
55     5.703380      1
56     5.734154      1
57     5.734634      1
58     5.718365      1
59     5.742854      1
60     5.719514      1
61     5.742631      1
62     5.727866      1
63     5.726946      1
64     5.731200      1
65     5.728447      1
66     5.725671      1
67     5.716726      1
68     5.705889      1
69     5.742042      1
70     5.715816      1
71     5.731821      1
72     5.731057      1
73     5.729702      1
74     5.703626      1
75     5.731840      1
76     5.726207      1
77     5.704210      1
78     5.731774      1
79     5.740717      1
80     5.736059      1
81     5.712726      1
82     5.732511      1
83     5.742834      1
84     5.716256      1
85     5.730169      1
86     5.743204      1
87     5.725544      1
88     5.742609      1
89     5.723553      1
90     5.707715      1
91     5.733986      1
92     5.719982      1
93     5.725589      1
94     5.705280      1
95     5.741605      1
96     5.718324      1
97     5.737653      1
98     5.725688      1
99     5.731904      1
100    5.735128      1
101    5.735121      1
102    5.738375      1
103    5.722416      1
104    5.728780      1
105    5.741571      1
106    5.735211      1
107    5.708009      1
108    5.725603      1
109    5.733070      1
110    5.719881      1
111    5.741715      1
112    5.716266      1
113    5.745145      1
114    5.726439      1
115    5.724681      1
116    5.718282      1
117    5.737281      1
118    5.710868      1
119    5.736336      1
120    5.745659      1
121    5.724735      1
122    5.731249      1
123    5.727058      1
124    5.705247      1
125    5.739048      1
126    5.718296      1
127    5.729050      1
128    5.737116      1
129    5.728330      1
130    5.716754      1
131    5.715753      1
132    5.717106      1
133    5.717315      1
134    5.734539      1
135    5.732706      1
136    5.750796      1
137    5.739766      1
138    5.731130      1
139    5.739547      1
140    5.741156      1
141    5.717483      1
142    5.724354      1
143    5.707908      1
144    5.726252      1
145    5.727203      1
146    5.735016      1
147    5.737187      1
148    5.744369      1
149    5.733853      1
150    5.749355      1
151    5.727292      1
152    5.713903      1
153    5.739318      1
154    5.723767      1
155    5.733768      1
156    5.721802      1
157    5.705755      1
158    5.733795      1
159    5.740201      1
160    5.743600      1
161    5.706601      1
162    5.731275      1
163    5.718540      1
164    5.736199      1
165    5.739574      1
166    5.736918      1
167    5.717224      1
168    5.726089      1
169    5.717904      1
170    5.721467      1
171    5.729574      1
172    5.702766      1
173    5.744174      1
174    5.719741      1
175    5.717419      1
176    5.748041      1
177    5.713509      1
178    5.716455      1
179    5.710642      1
180    5.733466      1
181    5.735697      1
182    5.723676      1
183    5.703510      1
184    5.724417      1
185    5.720474      1
186    5.739896      1
187    5.713803      1
188    5.713982      1
189    5.716175      1
190    5.721870      1
191    5.710489      1
192    5.720693      1
193    5.707706      1
194    5.719500      1
195    5.705816      1
196    5.707331      1
197    5.741048      1
198    5.714265      1
199    5.734048      1
200    5.733704      1
201    5.733283      1
202    5.703208      1
203    5.727916      1
204    5.727550      1
205    5.727011      1
206    5.717354      1
207    5.743300      1
208    5.739001      1
209    5.714729      1
210    5.732715      1
211    5.740122      1
212    5.739363      1
213    5.729777      1
214    5.727816      1
215    5.719026      1
216    5.742666      1
217    5.740988      1
218    5.711125      1
219    5.727433      1
220    5.703497      1
221    5.717590      1
222    5.713947      1
223    5.728986      1
224    5.709620      1
225    5.720508      1
226    5.733628      1
227    5.725009      1
228    5.738693      1
229    5.738531      1
230    5.716355      1
231    5.736854      1
232    5.710527      1
233    5.733688      1
234    5.730843      1
235    5.741893      1
236    5.738295      1
237    5.743532      1
238    5.737942      1
239    5.698256      1
240    5.740523      1
241    5.728134      1
242    5.735289      1
243    5.740993      1
244    5.702981      1
245    5.732353      1
246    5.725778      1
247    5.728619      1
248    5.713660      1
249    5.733415      1
250    5.725909      1
251    5.713790      1
252    5.726939      1
253    5.727872      1
254    5.742782      1
255    5.713710      1
256    5.716416      1
257    5.731314      1
258    5.738730      1
259    5.743178      1
260    5.728654      1
261    5.717634      1
262    5.727364      1
263    5.709668      1
264    5.724628      1
265    5.704106      1
266    5.743128      1
267    5.735988      1
268    5.711614      1
269    5.715962      1
270    5.709876      1
271    5.717282      1
272    5.725597      1
273    5.740387      1
274    5.713325      1
275    5.733615      1
276    5.728288      1
277    5.739750      1
278    5.704026      1
279    5.743381      1
280    5.736187      1
281    5.724503      1
282    5.737144      1
283    5.705832      1
284    5.724465      1
285    5.718075      1
286    5.725440      1
287    5.721873      1
288    5.730827      1
289    5.705994      1
290    5.717222      1
291    5.703540      1
292    5.745371      1
293    5.736327      1
294    5.734510      1
295    5.727821      1
296    5.707046      1
297    5.711414      1
298    5.736884      1
299    5.733832      1
300    5.718808      1
301    5.714211      1
302    5.728463      1
303    5.710247      1
304    5.725766      1
305    5.720041      1
306    5.705782      1
307    5.713731      1
308    5.717385      1
309    5.723897      1
310    5.736154      1
311    5.731567      1
312    5.726506      1
313    5.736257      1
314    5.727692      1
315    5.705910      1
316    5.751334      1
317    5.751062      1
318    5.706489      1
319    5.725524      1
320    5.726196      1
321    5.711705      1
322    5.741940      1
323    5.730468      1
324    5.736687      1
325    5.736528      1
326    5.727126      1
327    5.708477      1
328    5.710955      1
329    5.714557      1
330    5.704148      1
331    5.738013      1
332    5.742838      1
333    5.719541      1
334    5.733671      1
335    5.720746      1
336    5.745443      1
337    5.743366      1
338    5.705084      1
339    5.742944      1
340    5.719949      1
341    5.734758      1
342    5.721015      1
343    5.737090      1
344    5.732402      1
345    5.724896      1
346    5.714087      1
347    5.736628      1
348    5.704889      1
349    5.718532      1
350    5.735247      1
351    5.717064      1
352    5.714045      1
353    5.738732      1
354    5.720858      1
355    5.742314      1
356    5.710248      1
357    5.705335      1
358    5.736821      1
359    5.736122      1
360    5.713546      1
361    5.740927      1
362    5.732774      1
363    5.724978      1
364    5.716107      1
365    5.717822      1
366    5.717302      1
367    5.732362      1
368    5.720082      1
369    5.739788      1
370    5.738257      1
371    5.749962      1
372    5.711108      1
373    5.731560      1
374    5.710406      1
375    5.746314      1
376    5.704720      1
377    5.742342      1
378    5.731559      1
379    5.736342      1
380    5.740002      1
381    5.733645      1
382    5.720920      1
383    5.703032      1
384    5.720716      1
385    5.743296      1
386    5.707143      1
387    5.746249      1
388    5.737719      1
389    5.711342      1
390    5.743378      1
391    5.698279      1
392    5.727203      1
393    5.725409      1
394    5.738164      1
395    5.716509      1
396    5.720783      1
397    5.731712      1
398    5.744373      1
399    5.736040      1
400    5.720543      1
401    5.704735      1
402    5.713151      1
403    5.726271      1
404    5.712807      1
405    5.726925      1
406    5.710333      1
407    5.747738      1
408    5.725514      1
409    5.738281      1
410    5.739471      1
411    5.747031      1
412    5.727778      1
413    5.725491      1
414    5.736328      1
415    5.725572      1
416    5.720486      1
417    5.709493      1
418    5.705106      1
419    5.736561      1
420    5.707327      1
421    5.732278      1
422    5.715924      1
423    5.732285      1
424    5.711405      1
425    5.728707      1
426    5.725516      1
427    5.728434      1
428    5.721054      1
429    5.724171      1
430    5.704333      1
431    5.745081      1
432    5.741029      1
433    5.717794      1
434    5.710542      1
435    5.733567      1
436    5.736475      1
437    5.708517      1
438    5.725671      1
439    5.742352      1
440    5.720181      1
441    5.729582      1
442    5.742286      1
443    5.732088      1
444    5.740202      1
445    5.717526      1
446    5.729830      1
447    5.731682      1
448    5.712620      1
449    5.741331      1
450    5.736220      1
451    5.736737      1
452    5.735729      1
453    5.706082      1
454    5.744809      1
455    5.728697      1
456    5.732146      1
457    5.742561      1
458    5.727365      1
459    5.739751      1
460    5.732904      1
461    5.735625      1
462    5.739772      1
463    5.730824      1
464    5.739211      1
465    5.740078      1
466    5.740362      1
467    5.742828      1
468    5.736870      1
469    5.710050      1
470    5.700398      1
471    5.713690      1
472    5.725661      1
473    5.733887      1
474    5.738024      1
475    5.717124      1
476    5.739069      1
477    5.706455      1
478    5.704495      1
479    5.733299      1
480    5.729487      1
481    5.741371      1
482    5.705873      1
483    5.738086      1
484    5.733244      1
485    5.713428      1
486    5.724156      1
487    5.713672      1
488    5.734216      1
489    5.729071      1
490    5.712500      1
491    5.730142      1
492    5.744854      1
493    5.725675      1
494    5.713057      1
495    5.741869      1
496    5.735743      1
497    5.706705      1
498    5.725476      1
499    5.715148      1
500    5.736057      1
501    5.730923      1
502    5.731071      1
503    5.733591      1
504    5.734195      1
505    5.721347      1
506    5.705269      1
507    5.713256      1
508    5.743400      1
509    5.721386      1
510    5.741991      1
511    5.722005      1
512    5.734950      1
513    5.734014      1
514    5.720229      1
515    5.732633      1
516    5.709059      1
517    5.726326      1
518    5.735785      1
519    5.734112      1
520    5.736048      1
521    5.729995      1
522    5.742399      1
523    5.723815      1
524    5.749014      1
525    5.704588      1
526    5.714783      1
527    5.742728      1
528    5.716147      1
529    5.745263      1
530    5.740950      1
531    5.743081      1
532    5.717528      1
533    5.734015      1
534    5.720000      1
535    5.728348      1
536    5.731808      1
537    5.734797      1
538    5.734539      1
539    5.706426      1
540    5.742169      1
541    5.733390      1
542    5.725446      1
543    5.728497      1
544    5.741933      1
545    5.717569      1
546    5.733424      1
547    5.728896      1
548    5.742249      1
549    5.726164      1
550    5.717487      1
551    5.705899      1
552    5.728949      1
553    5.711580      1
554    5.743172      1
555    5.740396      1
556    5.735373      1
557    5.742148      1
558    5.745088      1
559    5.719754      1
560    5.739577      1
561    5.735111      1
562    5.706476      1
563    5.735343      1
564    5.740208      1
565    5.733834      1
566    5.737822      1
567    5.724188      1
568    5.724784      1
569    5.728459      1
570    5.712390      1
571    5.717336      1
572    5.739094      1
573    5.737003      1
574    5.734431      1
575    5.745578      1
576    5.702963      1
577    5.737287      1
578    5.732692      1
579    5.727218      1
580    5.722426      1
581    5.733605      1
582    5.739462      1
583    5.735603      1
584    5.740926      1
585    5.726046      1
586    5.699977      1
587    5.722920      1
588    5.728319      1
