           class  count
0      45.172728      1
1      45.167897      1
2      45.205983      1
3      45.188232      1
4      45.177061      1
5      45.204187      1
6      45.167397      1
7      45.167931      1
8      45.188321      1
9      45.171942      1
10     45.162334      1
11     45.162915      1
12     45.170898      1
13     45.168513      1
14     45.171575      1
15     45.170779      1
16     45.189093      1
17     45.166809      1
18     45.164845      1
19     45.161622      1
20     45.163034      1
21     45.195873      1
22     45.165374      1
23     45.160620      1
24     45.177193      1
25     45.187177      1
26     45.190321      1
27     45.191741      1
28     45.170122      1
29     45.179457      1
30     45.169703      1
31     45.168933      1
32     45.193164      1
33     45.167615      1
34     45.166267      1
35     45.177081      1
36     45.165062      1
37     45.167867      1
38     45.172715      1
39     45.193312      1
40     45.169208      1
41     45.176984      1
42     45.189644      1
43     45.187280      1
44     45.165756      1
45     45.171659      1
46     45.188541      1
47     45.190362      1
48     45.166135      1
49     45.168165      1
50     45.162630      1
51     45.167041      1
52     45.199864      1
53     45.188924      1
54     45.192652      1
55     45.169783      1
56     45.192131      1
57     45.152768      1
58     45.175726      1
59     45.175893      1
60     45.175531      1
61     45.188547      1
62     45.161245      1
63     45.165297      1
64     45.162176      1
65     45.183761      1
66     45.172585      1
67     45.195586      1
68     45.161259      1
69     45.172152      1
70     45.180263      1
71     45.171422      1
72     45.186009      1
73     45.189397      1
74     45.180894      1
75     45.163168      1
76     45.170220      1
77     45.181665      1
78     45.174285      1
79     45.173708      1
80     45.172587      1
81     45.187575      1
82     45.152371      1
83     45.176502      1
84     45.195908      1
85     45.182003      1
86     45.175837      1
87     45.162162      1
88     45.188181      1
89     45.173572      1
90     45.175612      1
91     45.191769      1
92     45.194148      1
93     45.167763      1
94     45.163743      1
95     45.194760      1
96     45.162165      1
97     45.160838      1
98     45.163115      1
99     45.167043      1
100    45.176803      1
101    45.195286      1
102    45.170747      1
103    45.162677      1
104    45.162238      1
105    45.175800      1
106    45.170317      1
107    45.165083      1
108    45.167445      1
109    45.167759      1
110    45.189952      1
111    45.189701      1
112    45.195934      1
113    45.178078      1
114    45.192078      1
115    45.166500      1
116    45.160832      1
117    45.168980      1
118    45.162829      1
119    45.194391      1
120    45.193079      1
121    45.186320      1
122    45.164988      1
123    45.170554      1
124    45.180940      1
125    45.172656      1
126    45.174756      1
127    45.160390      1
128    45.188947      1
129    45.160450      1
130    45.198224      1
131    45.177867      1
132    45.180442      1
133    45.196518      1
134    45.172425      1
135    45.165318      1
136    45.176409      1
137    45.176252      1
138    45.169293      1
139    45.160667      1
140    45.174543      1
141    45.197962      1
142    45.181246      1
143    45.199495      1
144    45.185036      1
145    45.184831      1
146    45.186816      1
147    45.170047      1
148    45.188729      1
149    45.168401      1
150    45.177619      1
151    45.184422      1
152    45.172085      1
153    45.190928      1
154    45.180968      1
155    45.168397      1
156    45.180680      1
157    45.191303      1
158    45.191565      1
159    45.199771      1
160    45.188946      1
161    45.175851      1
162    45.176844      1
163    45.194657      1
164    45.195468      1
165    45.192324      1
166    45.172355      1
167    45.197978      1
168    45.184982      1
169    45.180493      1
170    45.176542      1
171    45.163151      1
172    45.169318      1
173    45.188439      1
174    45.159719      1
175    45.182594      1
176    45.179845      1
177    45.191767      1
178    45.198468      1
179    45.192106      1
180    45.168969      1
181    45.200206      1
182    45.173580      1
183    45.168860      1
184    45.165385      1
185    45.194910      1
186    45.193332      1
187    45.186028      1
188    45.200577      1
189    45.190487      1
190    45.189090      1
191    45.193021      1
192    45.175843      1
193    45.165320      1
194    45.176095      1
195    45.201256      1
196    45.172438      1
197    45.189374      1
198    45.195653      1
199    45.159474      1
200    45.168811      1
201    45.195968      1
202    45.167555      1
203    45.185600      1
204    45.185475      1
205    45.188102      1
206    45.184900      1
207    45.186203      1
208    45.175561      1
209    45.175604      1
210    45.184655      1
211    45.189924      1
212    45.170595      1
213    45.183895      1
214    45.160129      1
215    45.175614      1
216    45.167837      1
217    45.189483      1
218    45.166779      1
219    45.183261      1
220    45.167525      1
221    45.175591      1
222    45.180266      1
223    45.161914      1
224    45.173212      1
225    45.194939      1
226    45.168404      1
227    45.189310      1
228    45.171588      1
229    45.195218      1
230    45.196165      1
231    45.161064      1
232    45.195207      1
233    45.163587      1
234    45.166166      1
235    45.179421      1
236    45.189314      1
237    45.179447      1
238    45.190921      1
239    45.206841      1
240    45.189108      1
241    45.168028      1
242    45.168099      1
243    45.179434      1
244    45.171415      1
245    45.169663      1
246    45.181411      1
247    45.165283      1
248    45.200272      1
249    45.154245      1
250    45.161905      1
251    45.173120      1
252    45.191728      1
253    45.159806      1
254    45.176621      1
255    45.198533      1
256    45.187934      1
257    45.186324      1
258    45.173406      1
259    45.176054      1
260    45.164994      1
261    45.163546      1
262    45.170509      1
263    45.160541      1
264    45.183698      1
265    45.168708      1
266    45.173773      1
267    45.173211      1
268    45.174280      1
269    45.188599      1
270    45.174902      1
271    45.194903      1
272    45.166861      1
273    45.192500      1
274    45.166439      1
275    45.196534      1
276    45.183818      1
277    45.193127      1
278    45.179885      1
279    45.186260      1
280    45.188537      1
281    45.160947      1
282    45.170398      1
283    45.191346      1
284    45.173538      1
285    45.177316      1
286    45.181489      1
287    45.177571      1
288    45.167904      1
289    45.177028      1
290    45.197700      1
291    45.164151      1
292    45.195021      1
293    45.171692      1
294    45.169797      1
295    45.159576      1
296    45.167138      1
297    45.166023      1
298    45.187460      1
299    45.170917      1
300    45.176586      1
301    45.168849      1
302    45.166180      1
303    45.191097      1
304    45.175144      1
305    45.179107      1
306    45.176690      1
307    45.171574      1
308    45.198268      1
309    45.173644      1
310    45.170713      1
311    45.179777      1
312    45.190276      1
313    45.196977      1
314    45.160140      1
315    45.176098      1
316    45.176387      1
317    45.176283      1
318    45.172964      1
319    45.166668      1
320    45.170032      1
321    45.169120      1
322    45.189123      1
323    45.159502      1
324    45.193516      1
325    45.169970      1
326    45.186352      1
327    45.185815      1
328    45.165737      1
329    45.185825      1
330    45.170617      1
331    45.162170      1
332    45.176590      1
333    45.169731      1
334    45.163503      1
335    45.170408      1
336    45.194365      1
337    45.188934      1
338    45.163621      1
339    45.174281      1
340    45.189390      1
341    45.168922      1
342    45.180520      1
343    45.190772      1
344    45.169701      1
345    45.181361      1
346    45.172906      1
347    45.193758      1
348    45.166088      1
349    45.160745      1
350    45.187810      1
351    45.161382      1
352    45.172479      1
353    45.166945      1
354    45.189365      1
355    45.169446      1
356    45.175221      1
357    45.175573      1
358    45.163530      1
359    45.196875      1
360    45.200245      1
361    45.193218      1
362    45.181914      1
363    45.170046      1
364    45.196551      1
365    45.176551      1
366    45.169532      1
367    45.185067      1
368    45.193951      1
369    45.192102      1
370    45.173489      1
371    45.176175      1
372    45.195112      1
373    45.188322      1
374    45.196776      1
375    45.188357      1
376    45.163576      1
377    45.173540      1
378    45.179962      1
379    45.170248      1
380    45.199134      1
381    45.196214      1
382    45.177328      1
383    45.180843      1
384    45.175992      1
385    45.174324      1
386    45.166524      1
387    45.187823      1
388    45.156856      1
389    45.166602      1
390    45.173354      1
391    45.204315      1
392    45.184363      1
393    45.166956      1
394    45.175425      1
395    45.195926      1
396    45.180311      1
397    45.175783      1
398    45.182737      1
399    45.165464      1
400    45.194849      1
401    45.202215      1
402    45.188603      1
403    45.192870      1
404    45.185033      1
405    45.184956      1
406    45.161759      1
407    45.172895      1
408    45.191741      1
409    45.189186      1
410    45.190846      1
411    45.175249      1
412    45.164730      1
413    45.167616      1
414    45.194310      1
415    45.165614      1
416    45.161180      1
417    45.181754      1
418    45.175594      1
419    45.177155      1
420    45.166035      1
421    45.170975      1
422    45.177682      1
423    45.170816      1
424    45.165723      1
425    45.175319      1
426    45.167110      1
427    45.166869      1
428    45.178389      1
429    45.164010      1
430    45.170397      1
431    45.193837      1
432    45.175184      1
433    45.163386      1
434    45.193331      1
435    45.200389      1
436    45.166808      1
437    45.173258      1
438    45.166521      1
439    45.189463      1
440    45.193675      1
441    45.176734      1
442    45.175673      1
443    45.163103      1
444    45.168984      1
445    45.194348      1
446    45.176352      1
447    45.161919      1
448    45.173170      1
449    45.188873      1
450    45.187816      1
451    45.188895      1
452    45.194990      1
453    45.165463      1
454    45.170426      1
455    45.163325      1
456    45.167897      1
457    45.176643      1
458    45.182959      1
459    45.191015      1
460    45.195963      1
461    45.168834      1
462    45.161103      1
463    45.161509      1
464    45.171638      1
465    45.189269      1
466    45.173677      1
467    45.177180      1
468    45.171744      1
469    45.191078      1
470    45.204727      1
471    45.190900      1
472    45.166114      1
473    45.170737      1
474    45.171408      1
475    45.194969      1
476    45.160408      1
477    45.175327      1
478    45.158902      1
479    45.160969      1
480    45.182018      1
481    45.174367      1
482    45.163961      1
483    45.161558      1
484    45.195947      1
485    45.187572      1
486    45.163585      1
487    45.172774      1
488    45.195680      1
489    45.166375      1
490    45.168180      1
491    45.181857      1
492    45.181131      1
493    45.164916      1
494    45.198495      1
495    45.176729      1
496    45.172627      1
497    45.163004      1
498    45.165204      1
499    45.180419      1
500    45.187647      1
501    45.177543      1
502    45.185031      1
503    45.166905      1
504    45.160252      1
505    45.189289      1
506    45.163168      1
507    45.173413      1
508    45.188940      1
509    45.177129      1
510    45.177228      1
511    45.189946      1
512    45.170754      1
513    45.171834      1
514    45.194112      1
515    45.169016      1
516    45.160730      1
517    45.164346      1
518    45.172648      1
519    45.191164      1
520    45.190202      1
521    45.164608      1
522    45.187634      1
523    45.159497      1
524    45.177313      1
525    45.163364      1
526    45.178926      1
527    45.173364      1
528    45.188645      1
529    45.188505      1
530    45.189156      1
531    45.192411      1
532    45.175432      1
533    45.166850      1
534    45.175449      1
535    45.184359      1
536    45.165521      1
537    45.152491      1
538    45.152093      1
539    45.165681      1
540    45.170820      1
541    45.169241      1
542    45.189800      1
543    45.163314      1
544    45.176601      1
545    45.175000      1
546    45.165607      1
547    45.164094      1
548    45.173598      1
549    45.160502      1
550    45.175562      1
551    45.164003      1
552    45.162791      1
553    45.190973      1
554    45.175903      1
555    45.189739      1
556    45.194763      1
557    45.170890      1
558    45.180218      1
559    45.195060      1
560    45.182627      1
561    45.172124      1
562    45.165645      1
563    45.171681      1
564    45.188835      1
565    45.186058      1
566    45.175888      1
567    45.175814      1
568    45.159356      1
569    45.166270      1
570    45.190422      1
571    45.174290      1
572    45.194403      1
573    45.165724      1
574    45.191607      1
575    45.192909      1
576    45.169158      1
577    45.189220      1
578    45.169046      1
579    45.182610      1
580    45.188967      1
581    45.196125      1
582    45.191118      1
583    45.187910      1
584    45.198685      1
585    45.186562      1
586    45.205277      1
587    45.163023      1
588    45.163772      1
589    45.173237      1
590    45.165743      1
591    45.188600      1
592    45.195669      1
593    45.173542      1
594    45.161241      1
595    45.172946      1
596    45.165218      1
597    45.164905      1
598    45.163297      1
599    45.169526      1
600    45.184261      1
601    45.176739      1
602    45.169305      1
603    45.193181      1
604    45.166647      1
605    45.187265      1
606    45.193919      1
607    45.187455      1
608    45.188409      1
609    45.191179      1
610    45.200009      1
611    45.193661      1
612    45.195650      1
613    45.195589      1
614    45.174245      1
615    45.172826      1
616    45.173566      1
617    45.171108      1
618    45.172730      1
619    45.186216      1
620    45.162539      1
621    45.174619      1
622    45.192612      1
623    45.160100      1
624    45.166594      1
625    45.167715      1
626    45.180144      1
627    45.163720      1
628    45.198345      1
629    45.163896      1
630    45.175807      1
631    45.190264      1
632    45.162381      1
633    45.168657      1
634    45.160149      1
635    45.193778      1
636    45.164433      1
637    45.175894      1
638    45.177485      1
639    45.180144      1
640    45.161050      1
641    45.195594      1
642    45.163096      1
643    45.186313      1
644    45.169044      1
645    45.190795      1
646    45.172638      1
647    45.176927      1
648    45.169073      1
649    45.185779      1
650    45.185368      1
651    45.194086      1
652    45.153733      1
653    45.174848      1
654    45.164189      1
655    45.166377      1
656    45.193979      1
657    45.185921      1
658    45.184312      1
659    45.189840      1
660    45.191795      1
661    45.174077      1
662    45.163373      1
663    45.161177      1
664    45.192777      1
665    45.199264      1
666    45.176849      1
667    45.193103      1
668    45.176983      1
669    45.175203      1
670    45.197986      1
671    45.188530      1
672    45.186962      1
673    45.177272      1
674    45.175692      1
675    45.194813      1
676    45.186408      1
677    45.188506      1
678    45.171318      1
679    45.166757      1
680    45.191708      1
681    45.195753      1
682    45.196349      1
683    45.193669      1
684    45.174288      1
685    45.180599      1
686    45.173710      1
687    45.185069      1
688    45.194921      1
689    45.165038      1
690    45.187250      1
691    45.169821      1
692    45.169564      1
693    45.194619      1
694    45.194352      1
695    45.187607      1
696    45.187788      1
697    45.165504      1
698    45.165046      1
699    45.165874      1
700    45.161785      1
701    45.164564      1
702    45.183973      1
703    45.176100      1
704    45.173235      1
705    45.184343      1
706    45.166299      1
707    45.169532      1
708    45.168726      1
709    45.162912      1
710    45.194164      1
711    45.189420      1
712    45.196585      1
713    45.182679      1
